NOM_BORNE_,T(wait),T(charge)
CEA-10130,838.8168577887258,169.3772211938595
CEA-10135,116.4359148,38.714941671
CEA-10156,627.4392422817886,204.20298404411398
CEA-10196,92.38587755142856,34.1314492065
CEA-10202,804.1907168000342,170.358412125261
CEA-10290,13.706087174857144,4.55727398564
CEA-10292,628.8156318654072,134.4182415390225
CEA-10297,312.5910760750857,74.81808580923999
CEA-10300,602.5734309348114,125.63171002259298
CEA-10315,543.43979921194,116.140493089969
CEA-10323,769.8922395389229,157.54505518811902
CEA-10326,352.16060469071425,95.35575684112999
CEA-10328,186.529496592,54.14001861314999
CEA-10329,218.11661607841427,64.74408502982749
CEA-10333,454.81488186336423,122.71432627090948
CEA-10341,125.05100360091427,46.19939855256
CEA-10369,44.030025128571424,14.639983355249997
CEA-10370,236.35382911862857,69.4652102905
CEA-10379,496.06155320199434,167.199171540169
CEA-10380,618.1877495752357,155.4206019183375
CEA-10382,181.06155375284573,66.892185136468
CEA-10389,593.6717183721428,124.15845218484999
CEA-10448,63.728074703314284,21.189584838852
CEA-10517,1088.7522627843516,219.67702278789602
CEA-10520,1824.9510153531614,363.1568584459915
CEA-10521,1280.376245650217,258.665438395587
CEA-10524,187.81091299565713,43.825906287071994
CEA-10527,572.1242240674928,124.5497384780675
CEA-10535,138.24265829885715,45.96568388437001
CEA-10537,412.7991680987715,89.32167782009999
CEA-10540,1586.545714255207,312.6452483343985
CEA-10555,68.22059916571428,22.683349222599997
CEA-10561,80.14779990925713,29.61015941091999
CEA-10564,290.56137634694574,63.57935506151701
CEA-10581,117.43972001588574,43.38745211698
CEA-10584,741.6354160459658,155.135818951585
CEA-10585,1877.13376856032,366.3919923826585
CEA-10614,2018.076257932787,402.0739755834095
CEA-10620,47.05905344862857,15.647135271668999
CEA-10648,355.04094378784276,84.75639252217499
CEA-10724,335.0044060521714,88.97199058825
CEA-10740,359.96699023905717,85.5009487461425
CEA-10741,81.34558270765714,30.052673611439996
CEA-10743,1727.8518550720287,343.1079672971585
CEA-10760,512.9496623894,129.719812553721
CEA-10810,215.86168950732286,56.569538474864
CEA-10820,2921.76834566172,571.451015174547
CEA-10826,627.2211176162714,131.68166302597749
CEA-10829,415.4776563401542,87.07583448332299
CEA-10844,550.9160657682428,114.68123246907248
CEA-10847,216.8045371060286,50.352188206687
CEA-10864,861.4115280172856,179.99090610977498
CEA-10865,507.95173969621425,105.50532869663499
CEA-10880,157.0613937984,58.02545937552
CEA-10939,3053.43483246264,736.814957151081
CEA-10952,1500.6219270727256,366.05425686535096
CEA-10969,60.094479449828576,22.20157157452
CEA-11016,856.7543396574343,174.000177052657
CEA-11018,66.91881669942856,24.722785058399996
CEA-11129,126.32638344366423,30.31951722060748
CEA-11130,324.1066048232,93.33998820561
CEA-11150,109.52605289771427,36.417412588489995
CEA-11199,916.577110818143,187.60996039971
CEA-11200,183.4922897697715,40.27070105221451
CEA-11202,44.40580052605715,16.405476305460002
CEA-11211,805.2083656441229,200.72527951807197
CEA-11215,236.53754904125714,59.07729914979999
CEA-11217,92.5820267095543,34.203915423252
CEA-11228,669.0654292594286,138.79196703
CEA-11229,804.6568623395885,169.21022928349348
CEA-11232,228.94592500357714,54.438952043358
CEA-11239,1490.8534459545285,291.63870343417597
CEA-11298,131.81055815300002,43.8270105858725
CEA-11302,655.1132228909714,218.21151940278702
CEA-11308,595.4576132783471,193.0630747528915
CEA-11315,153.02085644259142,36.549451002157
CEA-11316,1621.5660253855058,321.765036427256
CEA-11320,270.1198898687143,63.80313193716001
CEA-11330,288.6194877125315,62.908861623399005
CEA-11388,1541.1054726900716,311.338568969824
CEA-11440,2942.904078668506,574.0478069285369
CEA-11445,222.86983811422863,49.732039653560015
CEA-11448,1553.1930095052073,308.80119869166754
CEA-11451,1009.8202452049828,197.58556458257198
CEA-11458,142.7922973159429,33.40038316726001
CEA-11468,467.2051228089715,106.93326619106502
CEA-11563,1417.1443156076773,457.992977071653
CEA-11616,1651.0192936478459,397.8339877910015
CEA-11641,1623.93460938664,396.6959496707525
CEA-11701,283.68949030525715,65.77193285388
CEA-11763,567.6994241289943,120.817407269936
CEA-11768,531.199432465343,111.58151449611101
CEA-11792,118.30208135314288,39.335442049920005
CEA-11793,769.1339477974743,162.950740610164
CEA-11799,11.609360668228568,3.860112422185998
